exposure,stimType,sentence,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,gender,bildung,ageGroups,MSSGroups,ABNBLGroups
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,117.4,867.1,464.3,423,421.7,484.2,598.7,1533.6,524.2,649.3,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,808.7,674.8,525.9,390.4,759.3,582.7,391.5,391.7,417,374.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,392.7,524.5,593.3,748.4,775.5,566.2,421,442.6,455.2,418.5,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,921.4,720.1,470.2,738,532.8,484.6,540.4,471.8,458,413.1,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,333.6,353.9,567,407.7,383.8,387.3,397.5,739.2,476.1,453.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,100,582.4,513.3,400.3,374.8,431.6,456.1,466.4,408.6,649.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,541.3,583.5,545.6,475.4,675,575,533.5,465.7,419.9,925.9,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,459.5,574.7,858.8,553.9,633,567.4,736.9,712.7,499.9,750,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,250.3,950.4,499.3,506,948.8,1118.3,649,461.5,703.7,829.6,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,278.2,849.8,783.4,616.6,716.7,616.7,1717.1,699.4,589.4,777.6,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,332.7,761.6,722.6,548.8,1312.3,499.7,650.3,650,533.1,3000,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,162.2,850,667.2,499.5,850.3,483.7,537.1,550.8,578.6,3000,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,100,582.4,650.3,516.8,499.9,549.9,486.8,579.9,550.2,599.8,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,753.5,599.8,563.6,503.2,530.1,486.9,562.9,533.5,700.3,719.4,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,354.1,662.2,483.6,499.8,1303.2,566.8,463.3,450.2,453.3,2649,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,816.7,2650.1,500.2,382.9,533.2,400.3,633.3,520,447,786.2,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,363.9,483.5,433.4,455.3,548.1,582.2,480.7,555.6,497.9,546.4,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,450.2,433.4,483.7,433.5,555.2,460.2,1334.2,549.7,605.3,862.1,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,133.1,672,427.1,370.5,416.7,480.5,416.8,416.5,466.4,1083.4,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,1766.9,454.7,611.4,450.4,482.9,483.6,483.7,487.2,462.7,516.1,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,119.9,633.4,778.4,505,999.9,1162.1,483.5,570.8,562.2,550.4,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,333,600.2,583.3,470.7,462.9,500.2,449.8,483,533.9,933.2,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,305,912.3,587.8,494.8,2303.1,631,549.8,649.7,466.2,3000,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,433.5,437.4,450,379.4,533.5,454.5,477.9,487.9,745.5,1317.4,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,384.2,1428.3,502.3,513.4,470.3,450.1,546.5,450.2,453,596.4,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,366.9,516.4,450.1,466.6,483.3,550.4,484.1,382.4,450.2,3000,weiblich,tertiaer,middle aged,lowerSexism,moreNegativeAtt
exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,200.3,967.5,683.8,783.8,951,866.3,668.3,934.1,650.5,1117.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,666.9,850.8,667.3,600.6,683.6,684,617.1,666.7,834.7,750,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,967.5,600.5,784.2,867.1,650.8,750.2,801,800.6,1367.8,967.6,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,767.8,916.5,618.1,650.1,566.7,584.7,533.1,701.2,584.1,1016.7,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,499,618.5,583.9,549.6,667.7,834.4,533.7,582.9,567.2,684.7,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,734.8,583,683.9,584.7,582.9,533.8,1183.9,651.7,983.2,667.4,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,450.2,800.9,499.7,434.3,567.1,465.9,468.4,582.3,634.3,701,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,450.1,483.5,467.6,466.9,551.5,449.7,450.2,467.1,534.7,1234.2,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,717.2,667.2,600.5,532.8,684.9,499.6,467.1,584.4,516.5,751,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,483.5,867.2,517.1,517.1,884.1,483.7,533.8,600.6,566.9,934.3,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,299.8,1350.9,667.5,467,1300.9,450.6,450.2,484,450.2,2185.2,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,451.1,550.6,549.8,500.9,667.1,467.2,467,500.2,567.4,1201,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,517.1,850.6,467,433.2,1418,500.7,399.8,784.6,600.4,1317.7,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,449.4,634.3,517.7,549.9,551.1,1267.5,499.5,467,517.1,1102,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,432.8,534.9,483.5,483.9,1751.5,516,483.9,500.9,850,1318.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,433.8,466.9,517.1,417.2,616.9,516.7,450.9,532.9,467.9,767.1,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,467,518,450.3,433.8,416.9,600.4,450.5,432.7,484.7,567.1,weiblich,tertiaer,middle aged,middleSexism,middleAtt
exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,500.2,350.4,350.3,434.6,482.4,551.8,466.5,517.2,483.3,684.8,weiblich,tertiaer,middle aged,middleSexism,middleAtt
non-exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,700,1567,733,867,933,583,517,634,599,617,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,583,850,1150,983,967,717,533,634,433,583,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,483,1217,717,950,1133,467,483,433,934,650,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,100,816,667,767,683,467,450,432,551,933,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,550,1032,718,466,800,700,434,483,433,567,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,467,1183,650,617,1467,433,450,450,483,1167,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,334,250,217,1916,767,367,467,500,416,517,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,500,500,266,267,234,983,733,517,1583,417,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,716,1150,683,517,700,584,366,434,433,483,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,485,683,400,450,317,666,400,250,567,600,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,384,733,717,417,1366,400,183,517,467,683,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,516,617,717,616,2467,550,450,800,550,933,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,500,767,400,383,567,417,300,283,517,616,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,517,1117,583,349,584,617,267,250,483,683,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,784,799,466,318,383,400,400,467,450,483,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,267,833,383,599,518,533,400,467,666,551,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,467,1132,334,250,283,451,300,233,483,717,weiblich,sek2,older,middleSexism,moreNegativeAtt
non-exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,449,484,350,450,533,434,333,434,516,684,weiblich,sek2,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,950,1099.9,833.5,749.9,850,883.5,883.2,783.5,733.2,783.3,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,516.8,933.3,850,883.7,1083,749.9,1016.5,833.2,850.3,933.4,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,900.1,1083.2,833.3,916.8,783.2,850,850.1,783.3,766.8,1266.6,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,950,783.4,800,916.6,916.7,933.3,866.5,833.6,833.3,1116.7,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,1282.8,1049.9,783.3,900.1,2300,883.4,866.6,1066.6,849.9,1866.8,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,1057.1,1109.6,807.1,792.9,1083.4,766.5,800.1,900,1690.7,1376,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,3000,892.7,1323.8,959.5,1366.7,890.4,993.2,933.1,833.3,1750.1,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,566.4,933.6,999.8,1466.7,933.4,833.2,899.7,917.1,866.6,1733.3,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,1833.1,716.7,633.4,716.6,916.7,616.7,583.4,533.2,566.8,766.6,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,633.3,700,616.6,700,633.4,516.7,500,533.3,516.7,983.3,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,849.5,683.4,1966.5,2783.6,1966.7,666.5,566.7,566.4,567,583.2,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,1116.4,733.3,633.4,650,766.7,633.4,616.6,1366.7,933.3,883.3,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,949.1,983.6,816.8,766.8,1633.3,616.6,616.6,916.7,716.7,1533.4,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,266.7,800,656.8,626.5,707,593,600.1,600,583.3,1683.3,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,567.8,698.9,583.4,517.1,499.6,450.1,433.3,416.6,500,733.3,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,550,717.1,499.6,466.7,500,450.1,516.6,466.5,466.9,1083.2,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,799.9,766.7,1283.3,533.4,1033.3,499.9,490.6,499.8,476.1,833.5,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,740.1,559.8,483.4,483.3,733.3,466.6,500,450,516.5,500.2,maennlich,tertiaer,older,middleSexism,moreNegativeAtt
exposure,StimuliGM,Die Autofahrer nehmen die Ausfahrt. Eine davon verpasst sie knapp.,792,779.1,884.6,825.1,539.9,760.3,743.3,748.3,476.9,1006.6,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Schüler*innen schreiben die Aufsätze. Eine davon macht viele Fehler.,1498.7,1501.3,1230.2,746.7,732.6,1292.1,1485.4,1213.6,1273.3,1333.4,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Athlet*innen rennen die Länge. Eine davon ist zu langsam.,1741.4,1262.8,1323.6,1278.8,1452.4,1226.1,480.1,990.2,1320,1355.4,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Künstler malen die Bilder. Eine davon malt nicht gut.,557.1,1028.8,1277.7,1461.5,1233.8,1230.4,1264.1,1611.9,1651,1580.4,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Schriftsteller schreiben die Romane. Eine davon mag es nicht.,1164.5,1973.1,1437.7,1403,1330.4,1293.2,1606.1,1539.7,1949.9,1353.3,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Sänger*innen singen die Lieder. Eine davon singt oft daneben.,951,1052.5,1066.4,607.7,1571.5,1226.8,947.8,898.1,911.3,898.7,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Musiker spielen die Instrumente. Eine davon kann es nicht.,1734.1,1672.3,1332.2,1322.3,1385.4,1395.5,1341.2,1380.5,1593.8,1611.4,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Kellner*innen servieren die Teller. Eine davon lässt einen fallen.,1605.6,788.2,1666.5,798.9,1425.6,763.5,1130.3,1002.2,1125.3,704.8,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Praktikant*innen essen die Gerichte. Eine davon hat keinen Hunger.,2142.3,1624.3,1370,1341,1417.9,894.2,882.3,789.1,813,554.8,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,1700.7,1604.6,1260.9,1547,1292.5,533.1,1008.2,1282.3,1285.9,1614.7,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,735.2,1282.8,1302.5,1582.6,1610.9,1523.2,1338.2,1618.8,1545.7,1566,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Schwimmer trainieren die Arme. Eine davon kann nicht mehr.,900.5,1353.6,1612.9,1224.5,1370.6,1447.9,1419,1310.8,1888.7,1500.8,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Zuschauer*innen betrachten die Bühne. Eine davon sieht nicht gut.,2324.4,1478,1375.6,1091.6,1035.5,847.5,788,852.7,822.7,855,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Tennisspieler schlagen die Bälle. Eine davon schlägt immer daneben.,1738.4,1400.5,1395.7,1892.1,1567.4,1264.3,1147.2,938.4,1031,933.1,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Schauspieler lesen die Texte. Eine davon liest nicht gut.,833.9,1688.9,1607,1945.7,1736.2,1709.4,1943.7,1611.7,1578.9,1704.3,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Autor*innen lesen die Bücher. Eine davon will nicht mehr.,1721.9,1518.9,1599.9,1568.5,1545.3,1277.1,1699,1568.4,1468.1,1524.3,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Spaziergänger laufen die Strecke. Eine davon ist zu langsam.,538.5,1331.7,1030.6,1275.9,1512.4,992.8,1575.4,1197.1,1505,1286,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,1512.8,1039.2,1110.9,583.4,1092.6,822.6,774.7,805.5,780,744.5,weiblich,tertiaer,older,middleSexism,middleAtt
exposure,StimuliGM,Die Nachbarn essen die Mahlzeit. Eine davon hat keinen Hunger.,167,766,434,533,633,467,566,467,467,500,weiblich,tertiaer,younger,middleSexism,middleAtt
exposure,StimuliGS,Die Geiger*innen spielen die Symphonie. Eine davon spielt falsche Täne.,1967,3000,567,533,467,533,700,767,633,500,weiblich,tertiaer,younger,middleSexism,middleAtt
exposure,StimuliGS,Die Kunstmaler*innen zeichnen die Bäume. Eine davon kann es nicht.,1167,500,633,100,1167,666,567,500,467,466,weiblich,tertiaer,younger,middleSexism,middleAtt
